timestamp_ccentral,dschrg_wmth_mean_1_3,dschrg_wmth_min_1_3,dschrgwmth_max_1_3,dschrgwmth_max_min_1_3,dschrg_wmth_mean_4_6,dschrg_wmth_min_4_6,dschrgwmth_max_4_6,dschrgwmth_max_min_4_6,dschrg_wmth_mean_7_9,dschrg_wmth_min_7_9,dschrgwmth_max_7_9,dschrgwmth_max_min_7_9,dschrg_wmth_mean_10_12,dschrg_wmth_min_10_12,dschrgwmth_max_10_12,dschrgwmth_max_min_10_12,dschrg_wmth_mean_13_15,dschrg_wmth_min_13_15,dschrgwmth_max_13_15,dschrgwmth_max_min_13_15
2022-10-09 20:00:00-05:00,10.362599999999999,10.302,10.44744,0.14544000000000068,10.229279999999997,10.16868,10.302,0.13331999999999944,10.051519999999998,9.96264,10.10808,0.1454399999999989,9.82124,9.72024,9.91416,0.19392000000000031,9.695999999999998,9.68388,9.72024,0.03636000000000017
2022-10-09 21:00:00-05:00,10.43128,10.33836,10.50804,0.1696799999999996,10.273719999999997,10.21716,10.302,0.0848399999999998,10.120199999999999,10.08384,10.16868,0.0848399999999998,9.90204,9.82932,9.96264,0.13332000000000122,9.70812,9.68388,9.72024,0.03636000000000017
2022-10-09 22:00:00-05:00,10.467639999999998,10.44744,10.50804,0.0605999999999991,10.314119999999997,10.302,10.33836,0.03636000000000017,10.164639999999999,10.10808,10.21716,0.10908000000000051,9.98688,9.91416,10.08384,0.1696799999999996,9.756599999999999,9.72024,9.82932,0.10907999999999873
2022-10-09 23:00:00-05:00,10.50804,10.44744,10.56864,0.12119999999999997,10.362599999999999,10.302,10.44744,0.14544000000000068,10.229279999999997,10.16868,10.302,0.13331999999999944,10.051519999999998,9.96264,10.10808,0.1454399999999989,9.82124,9.72024,9.91416,0.19392000000000031
2022-10-10 00:00:00-05:00,10.536319999999998,10.44744,10.59288,0.1454399999999989,10.43128,10.33836,10.50804,0.1696799999999996,10.273719999999997,10.21716,10.302,0.0848399999999998,10.120199999999999,10.08384,10.16868,0.0848399999999998,9.90204,9.82932,9.96264,0.13332000000000122
2022-10-10 01:00:00-05:00,10.604999999999997,10.56864,10.653479999999998,0.08483999999999803,10.467639999999998,10.44744,10.50804,0.0605999999999991,10.314119999999997,10.302,10.33836,0.03636000000000017,10.164639999999999,10.10808,10.21716,0.10908000000000051,9.98688,9.91416,10.08384,0.1696799999999996
2022-10-10 02:00:00-05:00,10.653479999999997,10.59288,10.71408,0.12119999999999997,10.50804,10.44744,10.56864,0.12119999999999997,10.362599999999999,10.302,10.44744,0.14544000000000068,10.229279999999997,10.16868,10.302,0.13331999999999944,10.051519999999998,9.96264,10.10808,0.1454399999999989
2022-10-10 03:00:00-05:00,10.722159999999997,10.653479999999998,10.79892,0.14544000000000246,10.536319999999998,10.44744,10.59288,0.1454399999999989,10.43128,10.33836,10.50804,0.1696799999999996,10.273719999999997,10.21716,10.302,0.0848399999999998,10.120199999999999,10.08384,10.16868,0.0848399999999998
2022-10-10 04:00:00-05:00,10.807,10.71408,10.908,0.19392000000000031,10.604999999999997,10.56864,10.653479999999998,0.08483999999999803,10.467639999999998,10.44744,10.50804,0.0605999999999991,10.314119999999997,10.302,10.33836,0.03636000000000017,10.164639999999999,10.10808,10.21716,0.10908000000000051
2022-10-10 05:00:00-05:00,10.891839999999997,10.79892,10.9686,0.1696799999999996,10.653479999999997,10.59288,10.71408,0.12119999999999997,10.50804,10.44744,10.56864,0.12119999999999997,10.362599999999999,10.302,10.44744,0.14544000000000068,10.229279999999997,10.16868,10.302,0.13331999999999944
2022-10-10 06:00:00-05:00,10.988799999999998,10.908,11.0898,0.18180000000000085,10.722159999999997,10.653479999999998,10.79892,0.14544000000000246,10.536319999999998,10.44744,10.59288,0.1454399999999989,10.43128,10.33836,10.50804,0.1696799999999996,10.273719999999997,10.21716,10.302,0.0848399999999998
2022-10-10 07:00:00-05:00,11.089799999999999,10.9686,11.211,0.24239999999999995,10.807,10.71408,10.908,0.19392000000000031,10.604999999999997,10.56864,10.653479999999998,0.08483999999999803,10.467639999999998,10.44744,10.50804,0.0605999999999991,10.314119999999997,10.302,10.33836,0.03636000000000017
