,count,mean,std,min,25%,50%,75%,max
turbidity_wmth_mean_7_9,5289.0,306.46515516795864,746.2385691428744,0.0,6.562466666666666,8.180503333333334,14.627046666666669,3147.124103333333
turbidity_wmth_min_7_9,5289.0,293.21009430894304,719.3792865288668,0.0,5.97848,7.50932,12.60316,2917.27319
turbidity_wmth_max_7_9,5289.0,320.0107404140669,775.8151867449499,0.0,7.09146,8.93213,16.89049,3841.37817
turbidity_wmth_max_min_7_9,5289.0,26.800646105123842,106.2185016091808,0.0,0.6886799999999997,1.3351699999999995,4.031299999999999,2038.93866
turbidity_wmth_mean_10_12,5286.0,306.63366492874263,746.4167980728416,0.0,6.560649166666674,8.17967,14.63280166666667,3147.124103333333
turbidity_wmth_min_10_12,5286.0,293.3716113318199,719.5514687073264,0.0,5.97848,7.500725,12.60316,2917.27319
turbidity_wmth_max_10_12,5286.0,320.1862467347711,776.000352846911,0.0,7.08894,8.93206,16.89049,3841.37817
turbidity_wmth_max_min_10_12,5286.0,26.814635402951193,106.24701912044964,0.0,0.6885375000000005,1.3344699999999996,4.047770000000001,2038.93866
turbidity_wmth_mean_13_15,5283.0,306.80232482364823,746.5951651250396,0.0,6.559630000000007,8.178193333333333,14.671006666666667,3147.124103333333
turbidity_wmth_min_13_15,5283.0,293.5332714953625,719.7237846229145,0.0,5.97833,7.50042,12.60542,2917.27319
turbidity_wmth_max_13_15,5283.0,320.3620047226954,776.1856245862643,0.0,7.087545,8.93206,16.89257,3841.37817
turbidity_wmth_max_min_13_15,5283.0,26.828733227332954,106.27553780831835,0.0,0.6878600000000001,1.3337699999999997,4.0646450000000005,2038.93866
turbidity_wmth_mean_load_1_3,5295.0,1796.7527951152072,4922.027553918092,0.0,2.32349648704667,22.568541627200005,115.280000342,27681.985709632
turbidity_wmth_min_load_1_3,5295.0,1719.4239612728118,4727.121385063006,0.0,2.08170462084,20.9427050756,111.04650636,24620.069517732
turbidity_wmth_max_load_1_3,5295.0,1875.7059432549295,5135.600477997654,0.0,2.67077686732,23.9195740256,122.75075198,33831.785818824
turbidity_wmth_max_min_load_1_3,5295.0,156.2819819821177,657.7193637949177,0.0,0.4731175198799997,2.170982556800001,14.015392058,14590.674343008
turbidity_wmth_mean_load_4_6,5292.0,1797.7676702239407,4923.238096561043,0.0,2.322862759180004,22.583868963000004,115.52433553566667,27681.985709632
turbidity_wmth_min_load_4_6,5292.0,1720.3953918166774,4728.28517489989,0.0,2.07826006634,20.986899362800003,111.06573272,24620.069517732
turbidity_wmth_max_load_4_6,5292.0,1876.7650794320055,5136.8634659401505,0.0,2.66692593528,23.930204619,122.75075198,33831.785818824
turbidity_wmth_max_min_load_4_6,5292.0,156.36968761532796,657.8954807149747,0.0,0.47286152729999936,2.189027418800004,14.070698345000002,14590.674343008
turbidity_wmth_mean_load_7_9,5289.0,1798.7836393949794,4924.44952593545,0.0,2.322195975360004,22.61757823146668,115.55712124666668,27681.985709632
turbidity_wmth_min_load_7_9,5289.0,1721.3677572191018,4729.449859090636,0.0,2.07210512432,20.9884906784,111.06573272,24620.069517732
turbidity_wmth_max_load_7_9,5289.0,1877.8254953302062,5138.127328724306,0.0,2.66692593528,23.934954750000003,122.75075198,33831.785818824
turbidity_wmth_max_min_load_7_9,5289.0,156.4577381111045,658.0716806521211,0.0,0.4722650111999993,2.189995039199996,14.205184592000007,14590.674343008
turbidity_wmth_mean_load_10_12,5286.0,1799.8007277377408,4925.661834625394,0.0,2.322028613310004,22.629956690466678,115.94717728766668,27681.985709632
turbidity_wmth_min_load_10_12,5286.0,1722.3412788386743,4730.615359000415,0.0,2.07210512432,21.0019602202,111.06573272,24620.069517732
turbidity_wmth_max_load_10_12,5286.0,1878.8869688674483,5139.392148989507,0.0,2.66264878122,23.998510939200003,122.75675895500001,33831.785818824
turbidity_wmth_max_min_load_10_12,5286.0,156.5456900287739,658.24806836109,0.0,0.47222831789999953,2.1922833355999884,14.205184592000007,14590.674343008
turbidity_wmth_mean_load_13_15,5283.0,1800.8189028553008,4926.875036137527,0.0,2.3192093171533372,22.640717493066663,116.21875433599999,27681.985709632
turbidity_wmth_min_load_13_15,5283.0,1723.3158394177117,4731.781718791202,0.0,2.07210512432,21.022999712,111.074110872,24620.069517732
turbidity_wmth_max_load_13_15,5283.0,1879.94962572881,5140.6578827854855,0.0,2.6612230632,24.020646260800003,122.75876128,33831.785818824
turbidity_wmth_max_min_load_13_15,5283.0,156.63378631109813,658.4245868280028,0.0,0.4711305953599998,2.193495012399993,14.230753954000868,14590.674343008
dschrg_pnwa_mean_1_3,8319.0,1214.278065612854,1127.7685169737263,129.95799999999997,268.117,638.6333333333333,2224.1499999999996,3639.8
dschrg_pnwa_min_1_3,8319.0,1190.3972176944344,1140.5448369440094,0.881,219.398,558.533,2221.2,3639.8
