timestamp_ccentral,turbidity_pnwa_mean_1_3,turbidity_pnwa_min_1_3,turbidity_pnwa_max_1_3,turbidity_pnwa_max_min_1_3,turbidity_pnwa_mean_4_6,turbidity_pnwa_min_4_6,turbidity_pnwa_max_4_6,turbidity_pnwa_max_min_4_6,turbidity_pnwa_mean_7_9,turbidity_pnwa_min_7_9,turbidity_pnwa_max_7_9,turbidity_pnwa_max_min_7_9,turbidity_pnwa_mean_10_12,turbidity_pnwa_min_10_12,turbidity_pnwa_max_10_12,turbidity_pnwa_max_min_10_12,turbidity_pnwa_mean_13_15,turbidity_pnwa_min_13_15,turbidity_pnwa_max_13_15,turbidity_pnwa_max_min_13_15
2021-05-30 19:00:00-05:00,4.7842,4.5106,5.1794,0.6688000000000001,5.131266666666667,4.883,5.567,0.6840000000000002,5.3389999999999995,5.092,5.833,0.7410000000000005,5.3440666666666665,5.2554,5.491,0.2355999999999998,5.9128,5.6126,6.099,0.4864000000000006
2021-05-30 20:00:00-05:00,4.864,4.6626,5.1794,0.5167999999999999,4.779133333333333,4.5106,4.9438,0.43320000000000025,5.497333333333334,5.092,5.833,0.7410000000000005,5.2896,5.092,5.491,0.399,5.6316,5.2554,6.0268,0.7713999999999999
2021-05-30 21:00:00-05:00,4.9526666666666666,4.75,5.1794,0.4294000000000002,4.6854000000000005,4.5106,4.883,0.37239999999999984,5.447933333333334,4.9438,5.833,0.8891999999999998,5.1566,5.092,5.2858,0.19380000000000042,5.591066666666666,5.2554,6.0268,0.7713999999999999
2021-05-30 22:00:00-05:00,4.8792,4.75,4.959,0.20899999999999963,4.7842,4.5106,5.1794,0.6688000000000001,5.131266666666667,4.883,5.567,0.6840000000000002,5.3389999999999995,5.092,5.833,0.7410000000000005,5.3440666666666665,5.2554,5.491,0.2355999999999998
2021-05-30 23:00:00-05:00,4.770266666666667,4.4232,4.959,0.5358,4.864,4.6626,5.1794,0.5167999999999999,4.779133333333333,4.5106,4.9438,0.43320000000000025,5.497333333333334,5.092,5.833,0.7410000000000005,5.2896,5.092,5.491,0.399
2021-05-31 00:00:00-05:00,4.739866666666667,4.4232,4.959,0.5358,4.9526666666666666,4.75,5.1794,0.4294000000000002,4.6854000000000005,4.5106,4.883,0.37239999999999984,5.447933333333334,4.9438,5.833,0.8891999999999998,5.1566,5.092,5.2858,0.19380000000000042
2021-05-31 01:00:00-05:00,4.6752666666666665,4.4232,4.8374,0.4142000000000001,4.8792,4.75,4.959,0.20899999999999963,4.7842,4.5106,5.1794,0.6688000000000001,5.131266666666667,4.883,5.567,0.6840000000000002,5.3389999999999995,5.092,5.833,0.7410000000000005
2021-05-31 02:00:00-05:00,4.922266666666666,4.7652,5.1642,0.399,4.770266666666667,4.4232,4.959,0.5358,4.864,4.6626,5.1794,0.5167999999999999,4.779133333333333,4.5106,4.9438,0.43320000000000025,5.497333333333334,5.092,5.833,0.7410000000000005
2021-05-31 03:00:00-05:00,4.9374666666666664,4.7652,5.1642,0.399,4.739866666666667,4.4232,4.959,0.5358,4.9526666666666666,4.75,5.1794,0.4294000000000002,4.6854000000000005,4.5106,4.883,0.37239999999999984,5.447933333333334,4.9438,5.833,0.8891999999999998
2021-05-31 04:00:00-05:00,5.303533333333333,4.883,5.8634,0.9804000000000004,4.6752666666666665,4.4232,4.8374,0.4142000000000001,4.8792,4.75,4.959,0.20899999999999963,4.7842,4.5106,5.1794,0.6688000000000001,5.131266666666667,4.883,5.567,0.6840000000000002
