,count,mean,std,min,25%,50%,75%,max
toc_pnwa_max_13_15,8308.0,11.562480825710159,1.0582076825417295,9.867,11.17075,11.408850000000001,11.6587,20.711
toc_pnwa_max_min_13_15,8308.0,0.2804954260953298,0.8812639016677082,0.0,0.0259999999999998,0.0600000000000005,0.193999999999999,18.219
toc_pnwa_mean_load_1_3,8318.0,14137.599239991621,13245.91512969895,1479.3229852666666,2981.2509260000006,7266.340114250001,26084.908774999993,52385.49793333333
toc_pnwa_min_load_1_3,8318.0,13679.6501941597,13195.348053586706,10.1664757,2479.12153515,6468.718218700001,25579.908975,50666.9605
toc_pnwa_max_load_1_3,8318.0,14619.507923236319,13406.497099598391,1545.1722,3453.423748875,8447.6539116,26403.471625000002,53641.344
toc_pnwa_max_min_load_1_3,8318.0,939.857729076617,2159.2005054091633,0.0,87.22532500000005,265.11794050000026,964.6045869500002,48066.3089
toc_pnwa_mean_load_4_6,8315.0,14141.364444531278,13246.820953005468,1479.3229852666666,2979.766545833334,7282.788595666668,26089.48679999999,52385.49793333333
toc_pnwa_min_load_4_6,8315.0,13683.304305567746,13196.32555827679,10.1664757,2477.9304234,6470.320966900001,25585.125099999997,50666.9605
toc_pnwa_max_load_4_6,8315.0,14623.393448445377,13407.354489660745,1545.1722,3452.96885405,8449.750645200002,26405.922,53641.344
toc_pnwa_max_min_load_4_6,8315.0,940.0891428776308,2159.5548601848914,0.0,87.13489999999786,265.11794050000026,964.9654572499999,48066.3089
toc_pnwa_mean_load_7_9,8313.0,14144.02786902137,13247.299770688407,1479.3229852666666,2981.1323583333337,7296.617299999999,26092.588733333327,52385.49793333333
toc_pnwa_min_load_7_9,8313.0,13685.88309538476,13196.86302896748,10.1664757,2478.7000737,6470.445218299999,25587.5774,50666.9605
toc_pnwa_max_load_7_9,8313.0,14626.152018491903,13407.786550191826,1545.1722,3453.1539,8449.750645200002,26406.675,53641.344
toc_pnwa_max_min_load_7_9,8313.0,940.2689231071455,2159.781473156557,0.0,87.16579999999999,265.11794050000026,965.1202944999995,48066.3089
toc_pnwa_mean_load_10_12,8310.0,14148.066831008964,13247.983312152583,1479.3229852666666,2982.6065944750003,7332.783870683334,26093.58980833333,52385.49793333333
toc_pnwa_min_load_10_12,8310.0,13689.933229454837,13197.523020748493,10.1664757,2481.361643025,6484.9591031,25601.97995,50666.9605
toc_pnwa_max_load_10_12,8310.0,14630.18167521579,13408.524873128785,1545.1722,3453.423748875,8457.83961115,26409.341249999998,53641.344
toc_pnwa_max_min_load_10_12,8310.0,940.2484457609507,2160.147821470217,0.0,87.11944999999679,264.88837024999884,964.6045869500002,48066.3089
toc_pnwa_mean_load_13_15,8308.0,14150.556136899158,13248.606241631793,1479.3229852666666,2981.4880613333335,7343.08510565,26093.982325,52385.49793333333
toc_pnwa_min_load_13_15,8308.0,13692.315413856873,13198.218313862193,10.1664757,2479.96445805,6484.9591031,25607.3031,50666.9605
toc_pnwa_max_load_13_15,8308.0,14632.78387564244,13409.089692837691,1545.1722,3453.0613770249997,8465.9285771,26410.23,53641.344
toc_pnwa_max_min_load_13_15,8308.0,940.4684617855681,2160.3612512488617,0.0,87.34437500000018,265.11794050000026,964.888038625,48066.3089
toc_wmth_mean_1_3,3916.0,25.10173450067969,5.439254521805717,19.61644733,21.802324564166664,23.00904258,26.0329834025,69.43988504333333
toc_wmth_min_1_3,3916.0,25.01563603911389,5.305223816664158,19.60109794,21.7554721375,22.938762314999998,25.98295356,68.65787259
toc_wmth_max_1_3,3916.0,25.19737132861594,5.58982202329579,19.6284366,21.84000039,23.10319606,26.1488658,70.46192345
toc_wmth_max_min_1_3,3916.0,0.1817352895020429,0.5936355884692607,0.0,0.04249721249999975,0.0754036599999992,0.13930113500000016,18.57315595
toc_wmth_mean_4_6,3913.0,25.105841805483855,5.439315334016749,19.61644733,21.806556566666668,23.01069533333333,26.03426295,69.43988504333333
toc_wmth_min_4_6,3913.0,25.019720258029643,5.305205314053808,19.60109794,21.75633427,22.94023302,25.98295356,68.65787259
toc_wmth_max_4_6,3913.0,25.201495941190903,5.5899784817108,19.6284366,21.84273113,23.11578089,26.1488658,70.46192345
toc_wmth_max_min_4_6,3913.0,0.18177568316125736,0.59386087688197,0.0,0.0424942799999996,0.0753646500000009,0.1392874800000001,18.57315595
toc_wmth_mean_7_9,3910.0,25.109916631894713,5.439411144741468,19.61644733,21.809788924166668,23.011840944999996,26.051602205,69.43988504333333
toc_wmth_min_7_9,3910.0,25.02375917741432,5.3052351333809105,19.60109794,21.757366105,22.94131751,25.98295356,68.65787259
toc_wmth_max_7_9,3910.0,25.205609835148334,5.590148350267012,19.6284366,21.84873877,23.11828147,26.1549456075,70.46192345
toc_wmth_max_min_7_9,3910.0,0.18185065773401535,0.5940820915931928,0.0,0.04246794750000042,0.0753627000000012,0.13932844500000025,18.57315595
toc_wmth_mean_10_12,3907.0,25.113902424039335,5.439596152494442,19.61644733,21.812773563333334,23.01548454,26.05772199833333,69.43988504333333
toc_wmth_min_10_12,3907.0,25.027720164412596,5.3053446641129005,19.60109794,21.75886996,22.94131751,25.98827851,68.65787259
toc_wmth_max_10_12,3907.0,25.209636233585872,5.590404640172921,19.6284366,21.851028695,23.1198536,26.158378544999998,70.46192345
toc_wmth_max_min_10_12,3907.0,0.18191606917327877,0.5943054894470681,0.0,0.04242406000000005,0.0753607500000015,0.1394883900000003,18.57315595
toc_wmth_mean_13_15,3904.0,25.117859629017676,5.43981160980266,19.61644733,21.81554786833333,23.019128133333332,26.058493108333334,69.43988504333333
toc_wmth_min_13_15,3904.0,25.031631241142417,5.305505576294527,19.60109794,21.76363316,22.94424136,25.99360346,68.65787259
toc_wmth_max_13_15,3904.0,25.213648829182894,5.590677230934431,19.6284366,21.8555939125,23.122129870000002,26.15978488,70.46192345
toc_wmth_max_min_13_15,3904.0,0.18201758804047133,0.5945217645200499,0.0,0.04244161500000038,0.0753607500000015,0.13964052999999937,18.57315595
toc_wmth_mean_load_1_3,3916.0,262.805335545368,391.94773007680055,7.179316315404473,16.077842436195205,63.781975437118206,380.190009266086,1834.661879260792
toc_wmth_min_load_1_3,3916.0,260.4144940479196,388.4071690459205,7.170918586776478,15.887447521812,63.38150888359681,377.66652967908,1814.050846423944
toc_wmth_max_load_1_3,3916.0,265.2641146456824,395.6692044414712,7.189137388859518,16.286423775808558,64.551270710382,382.397527837404,1853.17677150438
toc_wmth_max_min_load_1_3,3916.0,4.849620597762826,13.85634361833436,0.0,0.3046739718860811,1.148517976231204,3.9579955978260024,276.089254468536
toc_wmth_mean_load_4_6,3913.0,262.97595854538395,392.0495138584927,7.179316315404473,16.069145341800716,63.8333064147596,380.19443981026,1834.661879260792
toc_wmth_min_load_4_6,3913.0,260.583414779274,388.50812478516985,7.170918586776478,15.868173227615998,63.4889613484272,377.66652967908,1814.050846423944
toc_wmth_max_load_4_6,3913.0,265.43651374741154,395.7718659328517,7.189137388859518,16.286423775808558,64.563759580764,382.397527837404,1853.17677150438
toc_wmth_max_min_load_4_6,3913.0,4.853098968137531,13.86108473310756,0.0,0.3050686206323973,1.150746276288004,3.960467385167988,276.089254468536
toc_wmth_mean_load_7_9,3910.0,263.14631390102056,392.1516534608431,7.179316315404473,16.062608844300687,64.2415309980166,380.511197707969,1834.661879260792
toc_wmth_min_load_7_9,3910.0,260.75218075193266,388.60937039586133,7.170918586776478,15.86375131454244,63.87330510675301,378.236504353185,1814.050846423944
toc_wmth_max_load_7_9,3910.0,265.60850184690827,395.8749666779809,7.189137388859518,16.286423775808558,65.084487822732,382.397527837404,1853.17677150438
toc_wmth_max_min_load_7_9,3910.0,4.856321094975614,13.865913647076638,0.0,0.30481777744651056,1.1516893225193883,3.9680583372695537,276.089254468536
toc_wmth_mean_load_10_12,3907.0,263.3163013546479,392.25420546582257,7.179316315404473,16.059886940250635,64.3978062363036,380.638615871848,1834.661879260792
toc_wmth_min_load_10_12,3907.0,260.92053036226247,388.71105387633384,7.170918586776478,15.86227734351792,63.951216690876,378.504719977122,1814.050846423944
toc_wmth_max_load_10_12,3907.0,265.7801970715865,395.97843935567977,7.189137388859518,16.27945722999948,65.3230221877584,382.881631165866,1853.17677150438
toc_wmth_max_min_load_10_12,3907.0,4.859666709324059,13.870711200013334,0.0,0.3046137807209472,1.154011770190806,3.9742128458784123,276.089254468536
toc_wmth_mean_load_13_15,3904.0,263.4861471960157,392.35704190451935,7.179316315404473,16.05852616842728,64.78144004706562,380.713409684042,1834.661879260792
